"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
461.800000,0.00000," ",Cerner,"Site 002 Innovation Campus (KC)",,,,DMR,,TRS
461.825000,0.00000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops E",,,FMN,M,Business
461.825000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
461.862500,0.00000,WQIF916,"Attractions and Recreation Kansas City Live",Operations,"KC Live Ops6",,,FMN,M,Business
461.925000,466.92500,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals","Royals Security","KS Security","223 DPL",,FMN,BM,Security
461.950000,0.00000," ","University Health","Site 001 Truman Medical Center",,,,NXDN,,TRS
462.012500,0.00000," ","Kauffman Center for the Performing Arts","Site 001 Primary",,,,DMR,,TRS
462.025000,467.02500,WPKY826,"Businesses Downtown","Tower Properties Security [Ch 1]","Tower Prop Secur","233.6 PL",,FMN,RM,Security
462.037500,0.00000," ","T-Mobile Center","Site 001 T-Mobile Center",,,,DMR,,TRS
462.050000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
462.050000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
462.062500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
462.125000,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
462.175000,467.17500,WQKK747,"Attractions and Recreation Hallmark Crown Center",Security,"HCC Security A","CC 14|TG 101|SL 1",,DMR,RM,Security
462.200000,467.20000,WPJH869,"Hospitals Children's Mercy Hospital (Kansas City)","Internal Operations","CMH Internal","146.2 PL",,FMN,RM,Business
462.200000,0.00000," ","Unilever Independence - Knorr","Site 001 Primary",,,,DMR,,TRS
462.250000,467.25000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops A",,,FMN,RM,Business
462.275000,467.27500,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 462.275",,,FMN,RM,Business
462.400000,467.40000,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Maintenance/Secondary Ops","AS Mnt/Secnd","331 DPL",,FMN,RM,Business
462.400000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
462.450000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
462.500000,467.50000,WPMZ482,"Attractions and Recreation Kemper Arena","Operations [Expired 4/14]","KA AmRoyal 2","051 DPL",,FMN,RM,Business
462.525000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
462.525000,0.00000," ","KC Wireless (Tier 3)","Site 007 Kansas City MO",,,,DMR,,TRS
462.525000,0.00000," ","Unilever Independence - Knorr","Site 001 Primary",,,,DMR,,TRS
462.562500,0.00000,,"Businesses Miscellaneous","Save-A-Lot [FRS 1]","Save-A-Lot A","67.0 PL",,FMN,M,Business
462.587500,0.00000,,"Businesses Miscellaneous","Save-A-Lot [FRS 2]","Save-A-Lot B","118.8 PL",,FMN,M,Business
462.612500,0.00000,,"Businesses Miscellaneous","Save-A-Lot [FRS 3]","Save-A-Lot C","127.3 PL",,FMN,M,Business
462.850000,0.00000,WQDL586,"Hospitals Children's Mercy Hospital (Kansas City)",Paging,"CMH Paging",,,Telm,B,Data
462.912500,0.00000,,"Businesses Miscellaneous","Target (all KC Metro stores; Ch 2)","Target KC Ch 2",,,FMN,M,Business
463.275000,468.27500,WQWZ451,"Attractions and Recreation Hallmark Crown Center",Security,"HCC Security B","CC 14|TG 101|SL 1",,DMR,RM,Security
463.312500,468.31250,WPWB214,"Hospitals St. Joseph Health Center (Kansas City)",Maintenance/Security/Admin,"SJHC Sec/Mt4",,,FMN,RM,Business
463.312500,468.31250,WQIF916,"Attractions and Recreation Kansas City Live",Operations,"KC Live Ops1",,,DMR,RM,Business
463.325000,468.32500,WNHL309,"Hospitals University Health Lakewood Medical Center",Security,"UHLMC Security","627 DPL",,FMN,RM,Security
463.337500,0.00000," ",Cerner,"Site 002 Innovation Campus (KC)",,,,DMR,,TRS
463.350000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
463.412500,0.00000," ",Cerner,"Site 005 Lee's Summit Campus",,,,DMR,,TRS
463.412500,0.00000," ","Kauffman Center for the Performing Arts","Site 001 Primary",,,,DMR,,TRS
463.450000,468.45000,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals",Security,"KS Security","226 DPL",,FMN,RM,Security
463.462500,0.00000," ","T-Mobile Center","Site 001 T-Mobile Center",,,,DMR,,TRS
463.487500,468.48750,WQBP882,"Businesses Downtown","Westport Community Improvement District: Security","Westport CID Sec","CC 11|TG 800000|SL 2",,DMR,RM,Security
463.487500,468.48750,WQBP882,"Businesses Midtown/Plaza Businesses","Westport Security","Wstprt Security","125 DPL",,FMN,RM,Security
463.500000,468.50000,WNYI549,"Hospitals University Health KC 2301 Holmes","Security (Hospital Hill)","UHKC Security","243 DPL",,FMN,RM,Security
463.500000,0.00000," ","University Health","Site 001 Truman Medical Center",,,,NXDN,,TRS
463.525000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
463.562500,468.56250,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 463.5625",,,FMN,RM,Business
463.562500,0.00000," ","Kansas City Chiefs Football Club","Site 001 GEHA Stadium (Arrowhead)",,,,DMR,,TRS
463.575000,0.00000,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals",Operations,"KS 463.575",,,FMN,M,Business
463.575000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
463.600000,468.60000,WPJH869,"Hospitals Children's Mercy Hospital (Kansas City)","Operations / TA","CMH Ops","146.2 PL",,FMN,RM,Business
463.612500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
463.637500,468.63750,WNYI549,"Hospitals University Health KC 2301 Holmes","ICC (Hospital Hill)","UHKC ICC","141.3 PL",,FMN,RM,"Emergency Ops"
463.637500,0.00000," ","University Health","Site 001 Truman Medical Center",,,,NXDN,,TRS
463.650000,0.00000,WNSU618,"Businesses Downtown","Whelan Security (Crowd Systems?)","Whelan Security","251 DPL",,FMN,M,Security
463.675000,468.67500,WPDQ601,"Attractions and Recreation Hallmark Crown Center","Crown Center: Maintenance","CC Maintenance","141.3 PL",,FMN,RM,Business
463.725000,468.72500,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops B",,,FMN,RM,Business
463.725000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
463.750000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
463.800000,0.00000," ","Ballys Kansas City","Site 001 Casino",,,,DMR,,TRS
463.825000,468.82500,WNYI549,"Hospitals University Health KC 2301 Holmes","Guest Relations (Hospital Hill)","UHKC Guest","141.3 PL",,FMN,RM,Business
463.825000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
463.825000,0.00000," ","University Health","Site 001 Truman Medical Center",,,,NXDN,,TRS
463.837500,468.83750,WQUU865,"Hospitals Research / Centerpoint Medical Center (Independence)","Security [Ch. 1]","RMC Security","100.0 PL",,FMN,RM,Security
463.875000,468.87500,WQGT220,"Attractions and Recreation Country Club Plaza (Kansas City)",Maintenance,"CCP Maintnc 102","CC 4|TG 102|SL *",,DMR,RM,Business
463.925000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
463.950000,468.95000,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 463.95",,,FMN,RM,Business
463.950000,0.00000," ","GEHA Insurance","Site 002 Lee's Summit",,,,DMR,,TRS
464.000000,0.00000," ","KC Wireless (LTR)","Site 010 Kansas City, MO",,,,LTR,,TRS
464.000000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
464.000000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
464.000000,0.00000," ","KC Wireless (Tier 3)","Site 007 Kansas City MO",,,,DMR,,TRS
464.025000,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
464.050000,469.05000,WPZT299,"Independence Public Schools","Truman High School: Bus / Base / Security","TrumanHigh B","186.2 PL",,FMN,RM,Schools
464.075000,0.00000," ","Unilever Independence - Knorr","Site 001 Primary",,,,DMR,,TRS
464.100000,469.10000,WNSL677,"Attractions and Recreation Hallmark Crown Center","Crown Center: Maintenance/Engineering","CC Engineers","506 DPL",,FMN,RM,Business
464.100000,469.10000,WSAS201,"Hospitals Research / Centerpoint Medical Center (Independence)",Maintenance,"RMC Maintnce","156.7 PL",,FMN,RM,Business
464.100000,469.10000,WSAS201,"Hospitals Research Medical Center West (BMC)","Maintenance [Ch 1]","BMC Maintnce","156.7 PL",,FMN,RM,Business
464.100000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
464.100000,0.00000," ","KC Wireless (LTR)","Site 001 Kansas City LTR",,,,LTR,,TRS
464.112500,469.11250,WQRV632,"Businesses Downtown","UMB Bank: Control Dispatch (Slot 1 TG100?)","UMB Bank Control","CC 12|TG 200|SL 2",,DMR,RM,Business
464.187500,469.18750,WPZT299,"Independence Public Schools","Bus / Base / Security","Ind Sch G",,,FMN,RM,Schools
464.200000,469.20000,WQPF659,"Businesses Downtown","City Center Square: Ops","CC Square Ops R",,,FMN,RM,Business
464.200000,469.20000,WSA582,"Hospitals St. Lukes Hospital (Kansas City)",Maintenance,"SLH Maint 2","100.0 PL",,FMN,RM,Business
464.225000,0.00000,WPIW775,"Businesses Downtown","Unigard Security","Unigard Security","241.8 PL",,FMN,M,Security
464.250000,469.25000,WPRB414,"Hospitals St. Lukes Hospital (Kansas City)",Housekeeping,"SLH Hskpng","134 DPL",,FMN,RM,Business
464.250000,469.25000,WRJ738,"Businesses Adams Mark Hotel","Security [Expired 7/13]","AdamsMark Ops 1",,,FMN,RM,Business
464.325000,469.32500,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Maintenance/Guest Services","AS Mnt/GtSrv","114 DPL",,FMN,RM,Business
464.325000,469.32500,WPSF412,"Businesses Downtown","Downtown District Security/Maint [Ch 1]","DDist Sec/Maint","624 DPL",,FMN,RM,Security
464.362500,469.36250,WQXF475,"Lee's Summit R7 School District","Bus Ops","LS School Bus A","7 RAN",,NXDN96,RM,Schools
464.400000,0.00000,,"Businesses Downtown","City Center Square Ops [No Lic]","CC Square Ops ","506 DPL",,FMN,M,Business
464.400000,469.40000,WPTR714,"Rockhurst College (Kansas City)",Operations,"RC Ops 1",,,FMN,RM,Schools
464.400000,0.00000,WPTR714,"Rockhurst College (Kansas City)",Operations,"RC Ops 7","244 DPL",,FMN,M,Schools
464.400000,0.00000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops F",,,FMN,M,Business
464.412500,469.41250,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations","AS 464.4125",,,DMR,RM,Business
464.412500,0.00000," ","Kansas City Chiefs Football Club","Site 001 GEHA Stadium (Arrowhead)",,,,DMR,,TRS
464.450000,0.00000,,"Businesses Downtown","State Street Bank Operations","StateStreet Bank","245 DPL",,FMN,M,Business
464.450000,469.45000,WXG607,"Hospitals Research / Centerpoint Medical Center (Independence)","Security [Expired 4/13]","CMS Security 2","82.5 PL",,FMN,RM,Security
464.450000,0.00000," ","MotoNet CP+ (DMR)","Site 004 Channel 50 (Kansas City)",,,,DMR,,TRS
464.475000,469.47500,WSAS201,"Hospitals Research Medical Center West (BMC)","Security [Ch 3]","BMC Security 3","156.7 PL",,FMN,RM,Security
464.475000,469.47500,WQTK957,"Hospitals Research Medical Center West (BMC)","Housekeeping [Ch 1]","BMC Housekpng",CSQ,,FMN,RM,Business
464.475000,469.62500,WNZU736,"Businesses Newspapers","Kansas City Star: Security [Expired 6/22]","KCStar Security","156.7 PL",,FMN,RM,Security
464.500000,469.50000,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations (Itinerant Statewide MO/MN)","KCC 464.5",,,FMN,RM,Business
464.500000,0.00000,,"Businesses Miscellaneous","Hope Faith Ministries: Security / Ops - Secondary","Hope FM SecOps B","071 DPL",,FMN,M,Business
464.550000,469.55000,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Football Team Operations (Itinerant Statewide MO/MN)","KCC 464.55",,,FMN,RM,Business
464.550000,0.00000,WPZT299,"Independence Public Schools","Randell Elementary","Randell Elem","67.0 PL",,FMN,M,Schools
464.550000,0.00000,,"Businesses Miscellaneous","Hope Faith Ministries: Security / Ops","Hope FM SecOps A","071 DPL",,FMN,M,Business
464.550000,0.00000,,"Businesses Miscellaneous","Otis Elevator and Escalator (Ch 1)","Otis Elevator 1","67.0 PL",,FMN,M,Business
464.575000,469.57500,WPHJ869,"Hospitals Children's Mercy Hospital (Kansas City)",Security,"CMH Security","131.8 PL",,FMN,RM,Security
464.575000,0.00000," ","Children's Mercy Hospital","Site 001 Children's Mercy",,,,DMR,,TRS
464.600000,469.60000,WPRB414,"Hospitals St. Lukes Hospital (Kansas City)",Security,"SLH Security","223 DPL",,FMN,RM,Security
464.625000,469.62500,KEQ496,"Hospitals St. Joseph Health Center (Kansas City)","Security [Ch 1]","SJHC Securty","103.5 PL",,FMN,RM,Security
464.625000,469.62500,WQAH621,"Businesses Miscellaneous","Caravan Ingredients","Caravan 401","CC 4|TG 401|SL *",,DMR,RM,Business
464.650000,0.00000,WQJP702,"Hospitals St. Lukes Hospital East (Lees Summit)",Paging,"SLHE Paging2",,,Telm,BM,Data
464.700000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
464.712500,0.00000," ","MotoNet CP+ (DMR)","Site 005 Kansas City",,,,DMR,,TRS
464.725000,469.72500,KEQ496,"Hospitals St. Joseph Health Center (Kansas City)",Maintenance,"SJHC Sec/Mt2","731 DPL",,FMN,RM,Business
464.762500,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
464.775000,469.77500,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Primary Ops/Security","AS Ops/Sec","103.5 PL",,FMN,RM,Security
464.775000,469.77500,WPHJ869,"Hospitals Children's Mercy Hospital (Kansas City)","Engineering A","CMH EgnrngA","131.8 PL",,FMN,RM,Business
464.775000,469.77500,WPJH869,"Hospitals Children's Mercy Hospital (Kansas City)","Engineering B","CMH EgnrngB","162.2 PL",,FMN,RM,Business
464.800000,0.00000," ","KC Wireless (LTR)","Site 206 Kansas City, MO 3",,,,LTR,,TRS
464.850000,469.85000,WNYI549,"Hospitals University Health KC 2301 Holmes","Maintenance (Hospital Hill)","UHKC Maintence","107.2 PL",,FMN,RM,Business
464.850000,0.00000," ","University Health","Site 001 Truman Medical Center",,,,NXDN,,TRS
464.862500,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
464.875000,469.87500,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals",Maintenance,"KS Maintenac","243 DPL",,FMN,RM,Business
464.875000,469.87500,WPHJ869,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance,"CMH Maint","162 DPL",,FMN,RM,Business
464.875000,0.00000," ","Children's Mercy Hospital","Site 001 Children's Mercy",,,,DMR,,TRS
464.900000,0.00000," ","KC Wireless (LTR)","Site 205 Kansas City, MO 2",,,,LTR,,TRS
464.950000,469.95000,KUF234,"Attractions and Recreation Arrowhead Stadium / Kansas City Chiefs","Parking Ops","AS Parking","506 DPL",,FMN,RM,Business
464.950000,469.95000,KEQ496,"Hospitals St. Joseph Health Center (Kansas City)","Security/Maintenance [Ch 2]","SJHC Sec/Mt1","103.5 PL",,FMN,RM,Business
464.950000,0.00000," ","Kansas City Chiefs Football Club","Site 001 GEHA Stadium (Arrowhead)",,,,DMR,,TRS
464.962500,469.96250,WNYI549,"Hospitals University Health Lakewood Medical Center",ICC,"UHLMC ICC","141.3 PL",,FMN,RM,"Emergency Ops"
464.975000,0.00000,"WQTK957 ","Hospitals Research Medical Center West (BMC)","Operations / Security - Brookside Campus","RMC West","162.2 PL",,FMN,BM,Business
464.975000,469.97500,WQTK957,"Hospitals Research Medical Center West (BMC)","Security [Ch 2]","BMC Security 2","162.2 PL",,FMN,RM,Security
465.300000,0.00000,WQBY761,Government,"Sheriff: Tactical / Courthouse Security [Expired 1/15]","Jack Shrf Jail","100.0 PL",,FMN,M,Corrections
465.362500,0.00000,WQPK766,"Lees Summit","Airport [Expired 6/22]","LS AirPort","411 DPL",,FMN,BM,"Public Works"
465.537500,0.00000,WQAX848,"Central Jackson County Fire Protection District","Fire: Data Ops","CJCFPD Data",,,FMN,M,Data
466.287500,0.00000,,"Businesses Miscellaneous","Target (all KC Metro stores; Ch 3)","Target KC Ch 3",,,FMN,M,Business
466.687500,0.00000,WQQZ212,"Businesses Property Management","Hawthorne Place Apartments: Maintenance/Office",HwthrnPlaceApt,,,FMN,M,Business
467.800000,0.00000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops G",,,FMN,M,Business
467.825000,0.00000,KB33450,"Attractions and Recreation Kaufman Stadium / Kansas City Royals",Operations,"KS 467.825","244 DPL",,FMN,M,Business
467.825000,0.00000,WNYI549,"Hospitals University Health KC 2301 Holmes","Disaster 1","UHKC Disaster 1","223 DPL",,FMN,M,"Emergency Ops"
467.900000,0.00000,WPZS270,"Hospitals Children's Mercy Hospital (Kansas City)",Maintenance/Security,"CMH Ops H",,,FMN,M,Business
467.900000,0.00000,WNZU736,"Businesses Newspapers","Kansas City Star: Security - Dispatch [Expired 6/22]","KCStar SecurityD","CC 4|TG 2|SL 2",,DMR,M,Security
467.925000,0.00000,WNYI549,"Hospitals University Health KC 2301 Holmes","Disaster 2","UHKC Disaster 2","516 DPL",,FMN,M,"Emergency Ops"
469.487500,0.00000,,"Businesses Miscellaneous","Target (all KC Metro stores; Ch 4)","Target KC Ch 4",,,FMN,M,Business
769.168750,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 086 Lee's Summit 700",,,,"Project 25",,TRS
769.418750,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 086 Lee's Summit 700",,,,"Project 25",,TRS
769.668750,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 086 Lee's Summit 700",,,,"Project 25",,TRS
769.918750,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 086 Lee's Summit 700",,,,"Project 25",,TRS
770.168750,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 086 Lee's Summit 700",,,,"Project 25",,TRS
770.418750,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 086 Lee's Summit 700",,,,"Project 25",,TRS
771.381250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 006 MO Oak Grove",,,,"Project 25",,TRS
771.681250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 006 MO Oak Grove",,,,"Project 25",,TRS
771.931250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 006 MO Oak Grove",,,,"Project 25",,TRS
772.206250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 006 MO Oak Grove",,,,"Project 25",,TRS
772.681250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 005 MO Lone Jack",,,,"Project 25",,TRS
772.931250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 005 MO Lone Jack",,,,"Project 25",,TRS
773.406250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 005 MO Lone Jack",,,,"Project 25",,TRS
773.906250,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 005 MO Lone Jack",,,,"Project 25",,TRS
775.931250,0.00000,,Independence,"City-Wide 5","Ind City Wide 5","293 NAC",,P25,M,Interop
775.943750,0.00000,,Independence,"City-Wide 6","Ind City Wide 6","293 NAC",,P25,M,Interop
851.050000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
851.325000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
851.487500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
851.600000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
851.825000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
851.862500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.050000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.075000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.175000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.225000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.412500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.437500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.587500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.662500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.737500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.875000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.962500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
852.987500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
853.150000,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
853.237500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
853.487500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
853.737500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
854.137500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
854.587500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
854.712500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
855.362500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
855.662500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
855.837500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
855.887500,0.00000," ","John Knox Village","Site 001 Primary",,,,NXDN,,TRS
856.162500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 001 MO Kansas City",,,,"Project 25",,TRS
856.212500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
856.462500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
856.737500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
857.212500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
857.462500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
857.737500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
857.887500,0.00000," ","John Knox Village","Site 001 Primary",,,,NXDN,,TRS
858.037500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
858.212500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
858.462500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
858.587500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
858.737500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 002 MO Independence",,,,"Project 25",,TRS
859.487500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
859.862500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
859.887500,0.00000," ","John Knox Village","Site 001 Primary",,,,NXDN,,TRS
860.787500,0.00000," ","Metropolitan Area Regional Radio System (MARRS)","Site 007 MO Lee's Summit",,,,"Project 25",,TRS
860.887500,0.00000," ","John Knox Village","Site 001 Primary",,,,NXDN,,TRS
935.175000,0.00000," ","Evergy (DMR T3)","Site 086 Swope Park (Kansas City)",,,,DMR,,TRS
935.325000,0.00000," ","Evergy (DMR T3)","Site 086 Swope Park (Kansas City)",,,,DMR,,TRS
935.350000,0.00000," ","Evergy (DMR T3)","Site 061 Kansas City MO Downtown",,,,DMR,,TRS
935.450000,0.00000,WPIT599,"Kansas City Power and Light","Talk-Around Ops","KCPL T/A 1",,,FMN,M,Utilities
935.450000,0.00000," ","Evergy (DMR T3)","Site 046 Blue Springs (*)",,,,DMR,,TRS
935.475000,0.00000," ","Evergy (DMR T3)","Site 086 Swope Park (Kansas City)",,,,DMR,,TRS
935.500000,0.00000," ","Evergy (DMR T3)","Site 061 Kansas City MO Downtown",,,,DMR,,TRS
935.537500,0.00000," ","Evergy (DMR T3)","Site 059 Greenwood (*)",,,,DMR,,TRS
935.600000,0.00000," ","Evergy (DMR T3)","Site 046 Blue Springs (*)",,,,DMR,,TRS
935.625000,0.00000," ","Evergy (DMR T3)","Site 086 Swope Park (Kansas City)",,,,DMR,,TRS
935.662500,0.00000," ","Evergy (DMR T3)","Site 061 Kansas City MO Downtown",,,,DMR,,TRS
935.737500,0.00000," ","Evergy (DMR T3)","Site 059 Greenwood (*)",,,,DMR,,TRS
935.762500,0.00000," ","Evergy (DMR T3)","Site 046 Blue Springs (*)",,,,DMR,,TRS
935.787500,0.00000," ","Evergy (DMR T3)","Site 086 Swope Park (Kansas City)",,,,DMR,,TRS
