"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,County,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
46.800000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,"Missouri National Guard: Mobiles","MNG MobilesB",,,FM,M,Military
46.900000,0.00000,,"Federal Missouri National Guard",Statewide,"Tac [Ch 3]","MNG Tac 3",CSQ,,FM,BM,Military
47.660000,0.00000,KWT733,Eureka,Jefferson,"Police: Alternate","Eurk Police Alt3",,,FM,M,"Law Tac"
47.720000,0.00000,KSW788,"Water Districts",Jefferson,"Meramec Heights Public Water District #3: Ops","MrmcHts PWD",,,FM,BM,"Public Works"
47.840000,0.00000,WNNH225,"Public Water Suppy Districts","St. Charles","St. Charles County Public Water District: Business Office/Maintenance Crews [Expired 3/22]","SCC PWD Ops","100.0 PL",,FM,BM,Utilities
48.120000,0.00000,KEQ978,"Utilities Liberity Utilties (Joplin/Avilla)",Statewide,"Electrical Ops","LibertyElec Jsp1","125 DPL",,FMN,BM,Utilities
48.240000,0.00000,KEQ978,"Utilities Liberity Utilties (Joplin/Avilla)",Statewide,"Electrical Ops","LibertyElec Jsp2","125 DPL",,FMN,BM,Utilities
49.650000,0.00000,,"Airports Whiteman Air Force Base",Statewide,"US Army I-135 (Helos)","USA Helo LB",CSQ,,FMN,BM,Military
49.700000,0.00000,,"Federal Operations",Statewide,"Exlposive Ordinance Disposal","FLW EOD 2",,,FM,BM,Military
49.700000,0.00000,,"Fort Leonard Wood Fort Leonard Wood",Statewide,EOD,FtLnrdWodEOD,,,FM,,Military
49.800000,0.00000,,"Fort Leonard Wood Fort Leonard Wood",Statewide,EOD,FtLeoWoodEOD,,,FM,,Military
49.800000,0.00000,,"Federal Operations",Statewide,"Exlposive Ordinance Disposal","FLW EOD 1",,,FM,BM,Military
49.800000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,"Missouri National Guard: Packsets","MNG PacksetC",,,FM,M,Military
49.800000,0.00000,,"Federal Missouri National Guard",Statewide,"Ops [Ch 4]","MNG Ops 4",CSQ,,FM,BM,Military
49.900000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,"Missouri National Guard: Packsets","MNG PacksetB",,,FM,M,Military
52.310000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Alpha,HMTac1,"100.0 PL",,FM,BM,Ham
52.330000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac8,"100.0 PL",,FM,BM,Ham
52.350000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Bravo,HMTac2,"100.0 PL",,FM,BM,Ham
52.390000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Charlie,HMTac3,"100.0 PL",,FM,BM,Ham
52.430000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Delta,HMTac4,"100.0 PL",,FM,BM,Ham
52.450000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLCall,CSQ,,FM,BM,Ham
52.470000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Echo,HMTac5,"100.0 PL",,FM,BM,Ham
52.510000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Foxtrot,HMTac6,"100.0 PL",,FM,BM,Ham
52.530000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac1,"100.0 PL",,FM,BM,Ham
52.550000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Statewide,HMCall,CSQ,,FM,BM,Ham
52.570000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac6,"100.0 PL",,FM,BM,Ham
52.590000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Golf,HMTac7,"100.0 PL",,FM,BM,Ham
52.610000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac5,"100.0 PL",,FM,BM,Ham
52.630000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Hotel,HMTac8,"100.0 PL",,FM,BM,Ham
52.650000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac4,"100.0 PL",,FM,BM,Ham
52.670000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,India,HMTac9,"100.0 PL",,FM,BM,Ham
52.690000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac3,"100.0 PL",,FM,BM,Ham
52.710000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,"Statewide Digital Voice Frequency",HMTac0,"100.0 PL",,FM,BM,Ham
52.730000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac2,"100.0 PL",,FM,BM,Ham
52.750000,0.00000,,"SKYWARN/Amateur Radio 6M \'Scene\' Frequencies",Statewide,"6M Scene",HLTac7,"100.0 PL",,FM,BM,Ham
52.790000,0.00000,,"SKYWARN/Amateur Radio 6M \'Wide Area/Mobile\' Frequencies",Statewide,Statewide,HMData,CSQ,,FM,BM,Ham
53.050000,51.35000,KC0KWL,Miscellaneous,Miller,"Repeater (Eldon)",KC0KWL,"127.3 PL","127.3 PL",FMN,RM,Ham
53.270000,51.57000,K0NXA,Miscellaneous,Greene,"Nixa Amateur Radio Club (Republic)","K0NXA 53.27","162.2 PL","162.2 PL",FM,RM,Ham
72.220000,0.00000,WQCD376,"Hospitals Barnes-Jewish Hospital (St. Louis) [BJC]",Statewide,"GPS Based Clock System (CSQ)","BJH Clocks 72.22",,,FMN,F,Data
72.260000,0.00000,"WQHP322 ","BJC Shoenberg School of Nursing","St. Louis","GPS-Based Clock System (CSQ)","BJC SSN Data",,,Telm,F,Data
108.600000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,VOT,"MKC VOT",CSQ,,AM,BM,Aircraft
109.900000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"ILS to Runway 19","MKC ILS R-19",CSQ,,AM,BM,Aircraft
110.000000,0.00000,,"Floyd W Jones Lebanon Airport",Laclede,"Forney VOR","Forney VOR",,,AM,BM,Aircraft
110.000000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,VOR,"FF VOR",,,AM,BM,Military
110.000000,0.00000,,"Fort Leonard Wood Forney AAF",Statewide,Tower," Tower ",CSQ,,AM,BM,Aircraft
111.350000,0.00000,WQJR717,"Airports Branson Airport - Air Ops",Statewide,"Operations (RLL)","BBG 111.35",CSQ,,AM,B,Aircraft
111.400000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"Riverside VOR (located on airport)",RiversideVOR,CSQ,,AM,BM,Aircraft
111.750000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"ILS to Runway 3","MKC ILS R-3k",CSQ,,AM,BM,Aircraft
114.600000,0.00000,,"Kirksville Regional Airport (IRK)",Adair,HIWAS,"IRK HIWAS",CSQ,,AM,BM,Aircraft
118.225000,0.00000,WPZZ629,"Northwest Missouri Regional Airport (KEVU)",Nodaway,"Weather AWOS","KEVU WX AWOS",CSQ,,AM,BM,Aircraft
118.275000,0.00000,WNA7,"Monett Regional Airport (HFJ)",Barry,AWOS,"HFJ AWOS V",CSQ,,AM,BM,Aircraft
118.400000,0.00000,WQJL383,"Airports Branson Airport - Air Ops",Statewide,"Ground Control","BBG GroundCntrl",CSQ,,AM,B,Aircraft
118.400000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON",Statewide,"MCI Approach A","MCI Approach A",CSQ,,AM,BM,Aircraft
118.400000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"Kansas City Departure/Arrival","MKC Dep/Arr",CSQ,,AM,BM,Aircraft
118.500000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Tower - South","STL Tower-S",CSQ,,AM,BM,Aircraft
118.700000,0.00000,,"Federal Forney Field / Waynesville Regional Airport",Statewide,ATIS,"FF ATIS",CSQ,,AM,BM,Military
118.700000,0.00000,,"Fort Leonard Wood Forney AAF",Statewide,ATIS,ATIS,CSQ,,AM,BM,Aircraft
118.725000,0.00000,,"Airports Whiteman Air Force Base",Statewide,ATIS,"SZL ATIS-VHF",CSQ,,AM,BM,Military
118.900000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON",Statewide,"MCI Approach B","MCI Approach B",CSQ,,AM,BM,Aircraft
118.925000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Ground - West","STL Ground-W",CSQ,,AM,BM,Aircraft
119.000000,0.00000,,"Cape Girardeau Regional Airport Air",Statewide,Tower,"CGA Tower",CSQ,,AM,BM,Aircraft
119.125000,0.00000,,"Airports Whiteman Air Force Base",Statewide,Ground,"SZL Ground-V",CSQ,,AM,BM,Military
119.150000,0.00000,,"St. Louis Lambert International Airport (STL) St. Louis Terminal Radar Approach Control (T75 TRACON)",Statewide,"North Departures","STL Dep-N",CSQ,,AM,BM,Aircraft
119.250000,0.00000,,"Airports Whiteman Air Force Base",Statewide,Arrival,"SZL 119.25",CSQ,,AM,BM,Military
119.300000,0.00000,,"Columbia Regional Airport (COU) Air Traffic Control",Statewide,Tower,"COU Tower",CSQ,,AM,BM,Aircraft
119.375000,0.00000,WLM4,"Sullivan Regional Airport",Franklin,"WX AWOS-3:","KUUV Wx AWOS3",CSQ,,AM,BM,Aircraft
119.500000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Clearance Delivery","STL ClrncDel",CSQ,,AM,BM,Aircraft
119.800000,0.00000,,"Airports Operations",Statewide,"CTAF (Common Traffic Advisory Frequency)","JLN CTAF",CSQ,,AM,BM,Aircraft
119.900000,0.00000,,"Springfield-Branson Regional Airport (SGF) Air Traffic Control",Statewide,"Springfield Tower","SGF Tower",CSQ,,AM,BM,Aircraft
120.050000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Tower - North","STL Tower-N",CSQ,,AM,BM,Aircraft
120.075000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"Automated Terminal Information Service","MKC ATIS",CSQ,,AM,BM,Aircraft
120.350000,0.00000,,"Rosecrans Memorial Airport (St Joseph)",Buchanan,Approach,"RMA Approach",CSQ,,AM,BM,Aircraft
120.475000,0.00000,WQKH248,"Clinton Memorial Airport",Henry,AWOS,"CMA AWOS ",CSQ,,AM,B,Data
120.750000,0.00000,,"Kansas City International Airport (MCI) Air Traffic Control",Statewide,"Automatic Terminal Information Service (ATIS)","MCI ATIS",CSQ,,AM,B,Aircraft
120.775000,0.00000,WPZZ647,"Airports Operations",Statewide,"WX AWOS-3PT:","KHAE WX AWOS",CSQ,,Telm,F,Data
120.850000,0.00000,,"Airports Operations",Statewide,"ATIS (Airport Terminal Information System)","JLN ATIS",CSQ,,AM,BM,Aircraft
120.950000,0.00000,WBJ2,"Kansas City International Airport (MCI) Kansas City TRACON",Statewide,"MCI Approach (Primary)","MCI App-Primary",CSQ,,AM,BM,Aircraft
121.025000,0.00000,,"St. Louis Lambert International Airport (STL) St. Louis Terminal Radar Approach Control (T75 TRACON)",Statewide,"South Feeder (Initial Approach) effective 5 May","STL App-S",CSQ,,AM,BM,Aircraft
121.075000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Metering - West","STL Meter-W",CSQ,,AM,BM,Aircraft
121.100000,0.00000,,"Springfield-Branson Regional Airport (SGF) Air Traffic Control",Statewide,"Springfield Approach/Departure / Basic RADAR Class C IC (020-199)","SGF Ap/Dp020",CSQ,,AM,BM,Aircraft
121.125000,0.00000,,"Kirksville Regional Airport (IRK)",Adair,"Weather AWOS","IRK Wx AWOS",,,Telm,F,Data
121.600000,0.00000,,"Airports Operations",Statewide,"Ground Control","JLN Ground",CSQ,,AM,BM,Aircraft
121.600000,0.00000,,"Cape Girardeau Regional Airport Air",Statewide,Ground,"CGA Ground",CSQ,,AM,BM,Aircraft
121.650000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Ground - Outbound","STL Ground-O",CSQ,,AM,BM,Aircraft
121.700000,0.00000,,"Airports - Other Air Traffic Control",Statewide,Ground,"KSUS Ground",CSQ,,AM,BM,Aircraft
121.750000,0.00000,,"Airports Whiteman Air Force Base",Statewide,Clearance/Delivery,"SZL 121.75",CSQ,,AM,BM,Military
121.800000,0.00000,KH9357,"Kansas City International Airport (MCI) Air Traffic Control",Statewide,Ground,"MCI Ground",CSQ,,AM,BM,Aircraft
121.800000,0.00000,KT5426,"Kansas City International Airport (MCI) Airlines",Statewide,"MCI Ground","MCI Ground",CSQ,,FM,M,Aircraft
121.850000,0.00000,,"Monett Regional Airport (HFJ)",Barry,"Clearance Delivery","HFJ ClncDel",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"Ground Control","MKC Ground",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Rosecrans Memorial Airport (St Joseph)",Buchanan,Ground,"RMA Ground",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"Springfield-Branson Regional Airport (SGF) Air Traffic Control",Statewide,"Springfield Ground","SGF Ground",CSQ,,AM,BM,Aircraft
121.900000,0.00000,,"St. Louis Lambert International Airport (STL) Air Traffic Control",Statewide,"Ground - Inbound","STL Ground-I",CSQ,,AM,BM,Aircraft
122.100000,0.00000,,"Neosho Hugh Robinson Airport (KEOS)",Newton,"FSS/RCO (117.3 Transmit)","KEOS FSS/RCO",CSQ,,AM,BM,Aircraft
122.600000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"Columbia Radio (Remote Communication)",ColumbiaRmte,CSQ,,AM,BM,Aircraft
122.650000,0.00000,,"Columbia Regional Airport (COU) Air Traffic Control",Statewide,FSS,"COU FSS",CSQ,,AM,BM,Aircraft
122.700000,0.00000,WQKE722,"Airports Taney County Airport (Hollister)",Statewide,UNICOM,"PLK UNICOM",CSQ,,AM,B,Aircraft
122.700000,0.00000,WPXP307,"Airports Air",Statewide,"Local Control","Smartt Arprt",CSQ,,FM,B,Aircraft
122.700000,0.00000,,"Sullivan Regional Airport",Franklin,CTAF/UNICOM:,"KUUV CTAF/UNICOM",CSQ,,AM,BM,Aircraft
122.700000,0.00000,,"Jesse Vientel Memorial Airport (Booneville)",Cooper,"Boonville Airport Unicom",Unicon,CSQ,,AM,BM,Aircraft
122.800000,0.00000,WQCI219,"Floyd W Jones Lebanon Airport",Laclede,CTAF/Unicom,"FWJLA CTAF",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Eldon Model Airpark (H79)",Miller,CTAF/UNICOM,"H79 CTAF/UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,KBZ9,"Airports Operations",Statewide,CTAF/UNICOM:,"KHAE CTAF/UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Neosho Hugh Robinson Airport (KEOS)",Newton,CTAF/UNICOM/Lights,"KEOS CTAF",CSQ,,AM,BM,Aircraft
122.800000,0.00000,KYV5,"Northwest Missouri Regional Airport (KEVU)",Nodaway,"CTAF/UNICOM [Expired]","KEVU UNICOM",CSQ,,AM,BM,Aircraft
122.800000,0.00000,WQJC780,"Houston Memorial Airport",Texas,"UNICOM [Expired 7/18]","HMA Unicom",CSQ,,AM,B,Aircraft
122.800000,0.00000,,"Kennett Memorial Airport (KTKX)",Dunklin,Runway,"KTKX Runway",CSQ,,AM,B,Aircraft
122.800000,0.00000,WHB5,"Kirksville Regional Airport (IRK)",Adair,CTAF/Unicom/Lights,"IRK Unicom",CSQ,,AM,BM,Aircraft
122.800000,0.00000,,"Nevada Municipal Airport",Vernon,"Nevada Municipal Airport","Nevada Airport ",CSQ,,AM,B,Aircraft
122.900000,0.00000,,"Marble Hill - Twin City Airport (OT3)",Bollinger,UNICOM,"0T3 UNICOM ",CSQ,,AM,BM,Aircraft
122.950000,0.00000,WQKA748,"Airports Branson Airport - Air Ops",Statewide,"Unicom VHF","BBG UnicomVHF",CSQ,,AM,B,Aircraft
122.950000,0.00000,WQRK355,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,Unicom,"MKC UNICOM",CSQ,,AM,BM,Aircraft
122.950000,0.00000,WBX9,"Springfield-Branson Regional Airport (SGF) Air Traffic Control",Statewide,UNICOM,"SGF UNICOM",CSQ,,AM,BM,Aircraft
122.950000,0.00000,,"Cape Girardeau Regional Airport Air",Statewide,UNICOM,"CGA UNICOM",CSQ,,AM,BM,Aircraft
123.000000,0.00000,WQEW370,"Poplar Bluff Regional Business Airport (KPOF)",Butler,"Unicom [Expired]","KPOF Unicom",CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Bolivar Municipal Airport (M17)",Polk,CTAF/UNICOM,"M17 CTAF/UNICOM",CSQ,,AM,BM,Aircraft
123.000000,0.00000,,"Airports Skyhaven Airport (west of Warrensburg)",Statewide,"Skyhaven CTAF/Unicom",Skyhaven,CSQ,,AM,BM,Aircraft
123.075000,0.00000,KKM5,"Monett Regional Airport (HFJ)",Barry,CTAF/Lights,"HFJ CTAF/Lts",CSQ,,AM,BM,Aircraft
123.080000,0.00000,,"Monett Regional Airport (HFJ)",Barry,UNICOM,"HFJ UNCIOM",CSQ,,AM,BM,Aircraft
123.200000,0.00000,,"St. Louis Lambert International Airport (STL) Boeing",Statewide,"Flight Test: Air-to-Ground","Boeing FT 1",CSQ,,AM,BM,Aircraft
123.675000,0.00000,,"Springfield-Branson Regional Airport (SGF) Air Traffic Control",Statewide,"Clearance Delivery","SGF ClrncDel",CSQ,,AM,BM,Aircraft
123.700000,0.00000,,"St. Louis Lambert International Airport (STL) St. Louis Terminal Radar Approach Control (T75 TRACON)",Statewide,"App/Dep (Low East Sector)","CPS Arr/Dep",CSQ,,AM,BM,Aircraft
123.725000,0.00000,,"Floyd W Jones Lebanon Airport",Laclede,"Clearance Delivery","FWJLA ClDelivery",CSQ,,AM,BM,Aircraft
123.950000,0.00000,,"Kansas City International Airport (MCI) Kansas City TRACON",Statewide,"MCI Departure-East","MCI Dep-E",CSQ,,AM,BM,Aircraft
123.950000,0.00000,,"Charles B. Wheeler Kansas City Downtown Airport (MKC) Operations",Statewide,"Kansas City Departure/Arrival","MKC Arr/Dep",CSQ,,AM,BM,Aircraft
