"Frequency Output","Frequency Input","FCC Callsign",Agency/Category,Description,"Alpha Tag","PL Output Tone","PL Input Tone",Mode,"Class Station Code",Tag
460.625000,465.62500,KAH380,"Saint Joseph","Fire: Secondary [Ch 2] [Deleted 2007]","StJo Fire Scn2",,,FMN,RM,Fire-Tac
461.275000,0.00000,WPOE265,"Missouri Western State University (MWSU)","Ad Spec (Instructional media center)","MWSU AdSpec1",,,FMN,M,Schools
461.550000,466.55000,WNJS663,"Mosiac Life Care (St Joseph) / Buchanan County EMS","Operations [Cancelled 12/12]","HRMC Ops 1",,,FMN,RM,Business
461.687500,0.00000," ","MotoNet CP+ (DMR)","Site 027 Atchison (Rushville)",,,,DMR,,TRS
461.825000,0.00000," ","MotoNet CP+ (DMR)","Site 001 St. Joseph East",,,,DMR,,TRS
461.887500,0.00000," ","MotoNet CP+ (DMR)","Site 001 St. Joseph East",,,,DMR,,TRS
461.912500,0.00000," ","MotoNet CP+ (DMR)","Site 044 St. Joseph West",,,,DMR,,TRS
461.950000,466.95000,WZA233,"First Student","Buses (St Joseph, Savannah)","FS Bus StJos",,,FMN,RM,Schools
461.975000,0.00000," ","MotoNet CP+ (DMR)","Site 001 St. Joseph East",,,,DMR,,TRS
462.112500,0.00000," ","MotoNet CP+ (DMR)","Site 027 Atchison (Rushville)",,,,DMR,,TRS
462.150000,467.15000,WQPL955,"Businesses, Attractions and Recreation Tyson/Sara Lee Foods (St. Joseph)","Manufacturing Ops","SaraLee SJ 4",,,FMN,RM,Business
462.162500,0.00000," ","MotoNet CP+ (DMR)","Site 027 Atchison (Rushville)",,,,DMR,,TRS
462.800000,466.80000,WNJS663,"Mosiac Life Care (St Joseph) / Buchanan County EMS",Paging,"HRMC Paging2",,,Telm,RM,Data
462.975000,467.95000,WPMB408,"Mosiac Life Care (St Joseph) / Buchanan County EMS","EMS: Dispatch","BuchCo EMS 1",,,FMN,RM,"EMS Dispatch"
463.125000,468.12500,WPMB408,"Mosiac Life Care (St Joseph) / Buchanan County EMS",EMS,"BuchCo EMS 2",,,FMN,RM,"EMS Dispatch"
463.237500,0.00000," ","MotoNet CP+ (DMR)","Site 001 St. Joseph East",,,,DMR,,TRS
463.300000,0.00000," ","MotoNet CP+ (DMR)","Site 044 St. Joseph West",,,,DMR,,TRS
463.312500,0.00000," ","MotoNet CP+ (DMR)","Site 001 St. Joseph East",,,,DMR,,TRS
463.437500,0.00000," ","MotoNet CP+ (DMR)","Site 027 Atchison (Rushville)",,,,DMR,,TRS
463.662500,0.00000," ","MotoNet CP+ (DMR)","Site 027 Atchison (Rushville)",,,,DMR,,TRS
463.962500,0.00000," ","MotoNet CP+ (DMR)","Site 044 St. Joseph West",,,,DMR,,TRS
463.987500,0.00000," ","MotoNet CP+ (DMR)","Site 044 St. Joseph West",,,,DMR,,TRS
464.325000,0.00000,WPOE265,"Missouri Western State University (MWSU)","Ad Spec (Instructional media center)","MWSU AdSpec2",,,FMN,M,Schools
464.437500,0.00000," ","MotoNet CP+ (DMR)","Site 027 Atchison (Rushville)",,,,DMR,,TRS
464.587500,0.00000," ","MotoNet CP+ (DMR)","Site 044 St. Joseph West",,,,DMR,,TRS
464.725000,469.72500,WPBX588,"Mosiac Life Care (St Joseph) / Buchanan County EMS","Operations [Cancelled 12/12]","HRMC Ops 2",,,FMN,RM,Business
464.762500,0.00000," ","MotoNet CP+ (DMR)","Site 044 St. Joseph West",,,,DMR,,TRS
464.825000,0.00000,WPOE265,"Missouri Western State University (MWSU)","Ad Spec (Instructional media center)","MWSU AdSpec3",,,FMN,M,Schools
467.850000,0.00000,WPKN874,Schools,"St Joseph School District - Neely","StJoSC Neely",,,FMN,M,Schools
773.031250,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 054 St Joseph 700",,,,"Project 25",,TRS
773.281250,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 054 St Joseph 700",,,,"Project 25",,TRS
773.531250,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 054 St Joseph 700",,,,"Project 25",,TRS
773.781250,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 054 St Joseph 700",,,,"Project 25",,TRS
774.031250,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 054 St Joseph 700",,,,"Project 25",,TRS
774.281250,0.00000," ","Missouri Statewide Wireless Interoperable Network (MOSWIN)","Site 054 St Joseph 700",,,,"Project 25",,TRS
851.087500,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
851.550000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
851.950000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
852.350000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
852.537500,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
852.750000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
852.950000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
853.387500,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
853.575000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
853.825000,0.00000," ","Buchanan County MO Public Safety","Site 001 Simulcast",,,,"Project 25",,TRS
854.762500,0.00000," ","Miller Communications","Site 001 St. Joseph",,,,Motorola,,TRS
855.262500,0.00000," ","Miller Communications","Site 001 St. Joseph",,,,Motorola,,TRS
858.912500,0.00000," ","Miller Communications","Site 001 St. Joseph",,,,Motorola,,TRS
859.887500,0.00000," ","Miller Communications","Site 001 St. Joseph",,,,Motorola,,TRS
860.887500,0.00000," ","Miller Communications","Site 001 St. Joseph",,,,Motorola,,TRS
