Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
129,081,"MCC Police 1","D","Police Dispatch","Security","Metropolitan Community College (KC MO)"
130,082,"MCC Police 2","D","Police Tactical","Security","Metropolitan Community College (KC MO)"
135,087,"Ft Osage Fire","D","Fort Osage Fire Dispatch ( Dispatched By Lee's Summit Fire)","Fire Dispatch","Jackson County MO - Central County Fire / EMS"
136,088,"Ft Osage FD FG 2","D","Fort Osage Fire 2 (Fireground)","Fire-Tac","Jackson County MO - Central County Fire / EMS"
137,089,"Ft Osage FD FG 3","D","Fort Osage Fire 3  (talk-around)","Fire-Tac","Jackson County MO - Central County Fire / EMS"
315,13b,"SCPD/FD Disp","DE","Police/Fire Dispatch","Multi-Dispatch","Jackson County MO - Sugar Creek"
400,190,"IPD TAC 2 *E","DE","Tactical 2 [IPD TAC 2]","Law Tac","Jackson County MO - Independence Police"
3502,dae,"KC Scout Ops 2","De","Motorist Assist Ops 2","Public Works","KC Scout"
3821,eed,"BlueSprgs Parks1","D","City Parks 1","Public Works","Jackson County MO - Blue Springs"
3822,eee,"BlueSprg PubWks1","D","Public Works 1","Public Works","Jackson County MO - Blue Springs"
3823,eef,"BlueSprg PubWks2","D","Public Works 2","Public Works","Jackson County MO - Blue Springs"
3826,ef2,"Blue Springs PD ","DE","Police Dispatch","Law Dispatch","Jackson County MO - Blue Springs"
3901,f3d,"EJC Fire Tac 2","D","East Jackson County Fire: Tac 2","Fire-Tac","Jackson County MO"
30000,7530,"JoCo SO All Call","D","Sheriff Announce (All Call)","Law Dispatch","Johnson County KS Sheriff"
30001,7531,"JoCo SO North 1","DE","Sheriff  North Zone Dispatch","Law Dispatch","Johnson County KS Sheriff"
30002,7532,"JoCo SO North 2","DE","Sheriff North Zone Secondary","Law Tac","Johnson County KS Sheriff"
30003,7533,"JoCo SO South 1","D","Sheriff South Zone Dispatch (includes Gardner PD)","Law Dispatch","Johnson County KS Sheriff"
30004,7534,"JoCoS O South 2","DE","Sheriff South Zone Secondary","Law Tac","Johnson County KS Sheriff"
30005,7535,"JoCo SO Zone 3","DE","Sheriff Zone 3 Dispatch","Law Dispatch","Johnson County KS Sheriff"
30006,7536,"JoCo SO Zone 3-2","DE","Sheriff Zone 3 Secondary","Law Dispatch","Johnson County KS Sheriff"
30007,7537,"JoCoSO Community","DE","Sheriff Community Patrols","Law Tac","Johnson County KS Sheriff"
30015,753f,"JoCo SO Tac 1","DE","Sheriff Tac 1","Law Tac","Johnson County KS Sheriff"
30016,7540,"JoCo SO Tac 2","DE","Sheriff Tac 2","Law Tac","Johnson County KS Sheriff"
30017,7541,"JoCo SO Tac 3","DE","Sheriff Tac 3","Law Tac","Johnson County KS Sheriff"
30020,7544,"JoCoSO CivilServ","DE","Sheriff Civil Paper Servers","Law Talk","Johnson County KS Sheriff"
30021,7545,"JoCo SO Warrants","DE","Sheriff Warrants","Law Talk","Johnson County KS Sheriff"
30022,7546,"JoCoSO Invstigat","DE","Sheriff Investigations","Law Tac","Johnson County KS Sheriff"
30030,754e,"JoCo SO Covert","DE","Sheriff Covert Operations","Law Tac","Johnson County KS Sheriff"
30031,754f,"JoCoSO Narcotics","DE","Sheriff Narcotics","Law Tac","Johnson County KS Sheriff"
30032,7550,"JoCo SO Admin","DE","Sheriff Administration","Law Talk","Johnson County KS Sheriff"
30033,7551,"JoCo SO Jail 1","D","Adult Detention Center 1","Corrections","Johnson County KS Sheriff"
30034,7552,"JoCo SO Jail 2","D","Adult Detention Center 2","Corrections","Johnson County KS Sheriff"
30035,7553,"JoCo SO Court 1","DE","Courthouse Security 1","Law Dispatch","Johnson County KS Sheriff"
30036,7554,"JoCo SO Court 2","DE"," Courthouse Security 2","Law Tac","Johnson County KS Sheriff"
30037,7555,"TheJO Xpress","D","Express","Transportation","Johnson County KS Transit (The JO)"
30100,7594,"JoCo ECC All ","D","Announce (All Call)","Multi-Dispatch","Johnson County KS Fire and EMS"
30101,7595,"JoCo Fire Main","D","Fire and EMS Dispatch","Fire Dispatch","Johnson County KS Fire and EMS"
30102,7596,"JoCo Fire Ops","D","Fire and EMS Operations","Fire Dispatch","Johnson County KS Fire and EMS"
30103,7597,"JoCo Fire Tac 3","D","Fire and EMS Tac 3 / Admin","Fire-Tac","Johnson County KS Fire and EMS"
30104,7598,"JoCo Fire Tac 4","DE","Fire and EMS Tac 4  ","Fire-Tac","Johnson County KS Fire and EMS"
30105,7599,"JoCo Fire Tac 5","DE","Fire and EMS Tac 5","Fire-Tac","Johnson County KS Fire and EMS"
30106,759a,"JoCo Fire Tac6","DE","Fire and EMS Tac 6","Fire-Tac","Johnson County KS Fire and EMS"
30107,759b,"JoCo Fire Tac7","DE","Fire and EMS Tac 7","Fire-Tac","Johnson County KS Fire and EMS"
30108,759c,"JoCo Fire Tac8","DE","Fire and EMS Tac 8","Fire-Tac","Johnson County KS Fire and EMS"
30109,759d,"JoCo Fire Tac9","DE","Fire and EMS Tac 9 ","Fire-Tac","Johnson County KS Fire and EMS"
30110,759e,"JoCoECC Emergncy","D","Emergency Communications Center - Emergency","Emergency Ops","Johnson County KS Fire and EMS"
30140,75bc,"JoCo Interop1","D","Interop Announce (All Call)","Interop","Johnson County KS - Interoperations"
30142,75be,"JoCo Interop2","D","Interop-2","Interop","Johnson County KS - Interoperations"
30143,75bf,"JoCo Interop3","D","Interop-3","Interop","Johnson County KS - Interoperations"
30144,75c0,"JoCo Interop4","D","Interop-4","Interop","Johnson County KS - Interoperations"
30145,75c1,"JoCo Interop5","D","Interop-5","Interop","Johnson County KS - Interoperations"
30146,75c2,"JoCo Interop6","D","Interop-6","Interop","Johnson County KS - Interoperations"
30147,75c3,"JoCo Interop7","D","Interop-7","Interop","Johnson County KS - Interoperations"
30148,75c4,"JoCo Interop8","D","Interop-8","Interop","Johnson County KS - Interoperations"
30149,75c5,"JoCo Interop9","D","Interop-9","Interop","Johnson County KS - Interoperations"
30150,75c6,"JoCo IOpEmerg","D","Interop Emergency","Interop","Johnson County KS - Interoperations"
30180,75e4,"JoCo ECC Admin","D","Emergency Mangement -- Administration ","Emergency Ops","Johnson County KS Fire and EMS"
30206,75fe,"Midwest Medical","D","Midwest Medical Transport: EMS Dispatch (Riverside Platte Co MO)","EMS Dispatch","Platte County MO"
30251,762b,"JoCo ECC Storms","D","Emergency Operations Center - Storms","Emergency Ops","Johnson County KS Fire and EMS"
30280,7648,"JoCo PS All Call","D","Announce (All Call)","Interop","Johnson County KS Public Safety Common"
30281,7649,"Public Safety","De","Public Safety Dispatch - MARRS Wide Information ","Interop","Regional Interop "
30282,764a,"JoCo PS Com 1","D","Com 1","Interop","Johnson County KS Public Safety Common"
30283,764b,"JoCo PS Com 2","D","Com 2","Interop","Johnson County KS Public Safety Common"
30285,764d,"JoCo PS Tac 1","DE","Tac 1 ","Interop","Johnson County KS Public Safety Common"
30286,764e,"JoCo PS Tac 2","DE","Tac 2  ","Interop","Johnson County KS Public Safety Common"
30287,764f,"JoCo PS Tac 3","DE","Tac 3 ","Interop","Johnson County KS Public Safety Common"
30294,7656,"JoCo PS Tac 7","DE","Tac 7","Interop","Johnson County KS Public Safety Common"
30295,7657,"JoCo PS Tac 8","DE","Tactical 8","Interop","Johnson County KS Public Safety Common"
30400,76c0,"JoCo Common All","D","Common - Announce (All Call)","Interop","Johnson County KS Common"
30401,76c1,"JoCo 911","D","Common 911","Interop","Johnson County KS Common"
30402,76c2,"JoCo Common 1","De","Common 1","Interop","Johnson County KS Common"
30403,76c3,"JoCo Common 2","De","Common 2","Interop","Johnson County KS Common"
30404,76c4,"JoCo Common 3","De","Common 3","Interop","Johnson County KS Common"
30405,76c5,"JoCo Common 4","De","Common 4","Interop","Johnson County KS Common"
30406,76c6,"JoCo Common 5","De","Common 5","Interop","Johnson County KS Common"
30407,76c7,"JoCo Common 6","De","Common 6","Interop","Johnson County KS Common"
30409,76c9,"JoCo Common 8","De","Common 8","Interop","Johnson County KS Common"
30800,7850,"Jo Co Airports","D","Airports Announce (All Call)","Public Works","Johnson County KS - Airports"
30801,7851,"NewCenterAirport","D","New Century Air Center","Public Works","Johnson County KS - Airports"
30802,7852,"New Center Tower","D","New Century Air Center - Control Tower","Public Works","Johnson County KS - Airports"
30803,7853,"Executve Airport","D","Executive Airport","Public Works","Johnson County KS - Airports"
30804,7854,"Executive Tower","D","Executive Airport - Control Tower","Public Works","Johnson County KS - Airports"
30805,7855,"Jo Co Airport 1","D","Airports -1","Public Works","Johnson County KS - Airports"
30806,7856,"Jo Co Airport 2","D","Airports -2","Public Works","Johnson County KS - Airports"
30807,7857,"Jo Co Airport 3","D","Airports -3","Public Works","Johnson County KS - Airports"
30820,7864,"JoCoWstWrAll","D","Announce (All Call)","Public Works","Johnson County KS - Wastewater"
30821,7865,"JoCoWWSuprvs","D","Supervisors","Public Works","Johnson County KS - Wastewater"
30822,7866,"JoCoWWPermts","D","Permits","Public Works","Johnson County KS - Wastewater"
30823,7867,"JoCoWWColect","D","Collections","Public Works","Johnson County KS - Wastewater"
30824,7868,"JoCoWWLowell","D","Lowell Office","Public Works","Johnson County KS - Wastewater"
30825,7869,"JoCoWWPlants","D","Treatment Plants","Public Works","Johnson County KS - Wastewater"
30826,786a,"JoCoWW Comm1","D","Comm 1","Public Works","Johnson County KS - Wastewater"
30827,786b,"JoCoWW Comm2","D","Comm 2","Public Works","Johnson County KS - Wastewater"
30828,786c,"JoCoWW Comm3","D","Comm 3","Public Works","Johnson County KS - Wastewater"
30829,786d,"JoCoWW Comm4","D","Comm 4","Public Works","Johnson County KS - Wastewater"
30830,786e,"JoCoWW Comm5","D","Comm 5","Public Works","Johnson County KS - Wastewater"
30831,786f,"JoCoWW Comm6","D","Comm 6","Public Works","Johnson County KS - Wastewater"
30832,7870,"JoCoWW Comm7","D","Comm 7","Public Works","Johnson County KS - Wastewater"
30833,7871,"JoCoWW Comm8","D","Comm 8","Public Works","Johnson County KS - Wastewater"
30834,7872,"JoCoWW Call","D","Calling","Public Works","Johnson County KS - Wastewater"
30835,7873,"JoCoWWFaclty","D","Facility","Public Works","Johnson County KS - Wastewater"
30850,7882,"JoCo Bus All","D","Announce (All Call)","Transportation","Johnson County KS Transit (The JO)"
30851,7883,"The JO SpcSv","D","A -- Special Serives ","Transportation","Johnson County KS Transit (The JO)"
30852,7884,"The JO Trans","D","B -- Transit","Transportation","Johnson County KS Transit (The JO)"
30853,7885,"The JO Privt","D","C -- Private","Transportation","Johnson County KS Transit (The JO)"
30860,788c,"JoCo Health All","D","Johnson County Health Department -- Announce (All Call)","Public Works","Johnson County KS - Health Department"
30861,788d,"JoCo Health 1","D","Johnson County Health Department ","Public Works","Johnson County KS - Health Department"
30992,7910,"JoCo Fire Alerts","D","Automated Fire and EMS Dispatch","Fire Dispatch","Johnson County KS Fire and EMS"
31000,7918,"JoCoSO North All","D","Johnson County Sheriff North Zone -- Announce (All Call)","Emergency Ops","Johnson County KS Sheriff North Zone"
31001,7919,"Fairway PD","D","Fairway Police","Law Dispatch","Johnson County KS Sheriff North Zone"
31002,791a,"Lake Quivira PD","DE","Lake Quivira Police","Law Dispatch","Johnson County KS Sheriff North Zone"
31003,791b,"Merriam PD","D","Merriam Police","Law Dispatch","Johnson County KS Sheriff North Zone"
31004,791c,"Mission PD","D","Mission Police","Law Dispatch","Johnson County KS Sheriff North Zone"
31005,791d,"Roeland Park PD","D","Roeland Park Police","Law Dispatch","Johnson County KS Sheriff North Zone"
31006,791e,"Westwood PD","D","Westwood Police","Law Dispatch","Johnson County KS Sheriff North Zone"
31010,7922,"Lake Quivira FD","D","Lake Quivira Fire","Fire Dispatch","Johnson County KS Sheriff North Zone"
31011,7923,"Merriam Fire","D","Merriam Fire","Fire Dispatch","Johnson County KS Sheriff North Zone"
31020,792c,"Fariway Pub Woks","D","Fairway Public Works","Public Works","Johnson County KS Sheriff North Zone"
31021,792d,"Misson Pub Works","D","Mission Public Works","Public Works","Johnson County KS Sheriff North Zone"
31031,7937,"Merriam City PW","D","Merriam Citywide","Public Works","Johnson County KS Sheriff North Zone"
31033,7939,"Merriam PubWorks","D","Merriam Public Works","Public Works","Johnson County KS Sheriff North Zone"
31050,794a,"JoCoSO North Com","D","Johnson County Sheriff North Zone -- Common","Law Dispatch","Johnson County KS Sheriff North Zone"
31100,797c,"JoCoSO S All","D","Sheriff South Zone -- Announce (All Call)","Emergency Ops","Johnson County KS Sheriff South Zone"
31101,797d,"Gardner PD Tac 1","DE","Gardner Police Tactical 1","Law Dispatch","Johnson County KS Sheriff South Zone"
31102,797e,"Gardner PD Tac 2","DE","Gardner Police Tactical 2","Law Tac","Johnson County KS Sheriff South Zone"
31103,797f,"Spring Hill PD","DE","Spring Hill Police","Law Dispatch","Johnson County KS Sheriff South Zone"
31104,7980,"De Soto PD","D","De Soto Police","Law Dispatch","Johnson County KS Sheriff South Zone"
31105,7981,"Edgerton PD","D","Edgerton Police","Law Dispatch","Johnson County KS Sheriff South Zone"
31120,7990,"JoCo Park PD 1","DE","Park Police 1","Law Dispatch","Johnson County KS Sheriff"
31121,7991,"JoCo Park PD 2","D","Park Police 2","Law Tac","Johnson County KS Sheriff"
31150,79ae,"JoCoSO South Com","D","Sheriff South Zone Common","Law Talk","Johnson County KS Sheriff South Zone"
31160,79b8,"JoCo FD Admin 1","D","Johnson County Fire District #1 - Administration","Fire-Talk","Johnson County KS Fire and EMS"
31170,79c2,"JoCo FD Admin 2","D","Johnson County Fire District #2  - Administration","Fire-Talk","Johnson County KS Fire and EMS"
31190,79d6,"Miami Co Fire","D","County Fire and EMS Dispatch","Fire Dispatch","Miami County KS"
31200,79e0,"Leawood PD All","D","Police -- Announce (All call)","Law Dispatch","Johnson County KS - Leawood"
31201,79e1,"Leawood PD 1","DE","Police 1","Law Dispatch","Johnson County KS - Leawood"
31202,79e2,"Leawood PD 2","DE","Police 2","Law Tac","Johnson County KS - Leawood"
31203,79e3,"Leawood PD 3","DE","Police 3 "Secure channel" (Encrypted)","Law Tac","Johnson County KS - Leawood"
31204,79e4,"Leawood PD Event","D","Police -- Special Events","Law Tac","Johnson County KS - Leawood"
31205,79e5,"Leawood PD Tac2","D","Police -- Tac 2","Law Tac","Johnson County KS - Leawood"
31206,79e6,"Leawood PD Comn","D","Police -- Common","Law Talk","Johnson County KS - Leawood"
31210,79ea,"Leawood Fire 1","D","Fire 1","Fire Dispatch","Johnson County KS - Leawood"
31211,79eb,"Leawood Fire 2","D","Fire 2","Fire-Tac","Johnson County KS - Leawood"
31212,79ec,"Leawood FD Admn","D","Fire Administration (Chief's Channel)","Fire-Talk","Johnson County KS - Leawood"
31230,79fe,"Leawood PW All","D","Public Works Announce (All Call)","Public Works","Johnson County KS - Leawood"
31231,79ff,"Leawood PW 1","D","Public Works","Public Works","Johnson County KS - Leawood"
31232,7a00,"Leawood Parks","D","Public Works -- Parks","Public Works","Johnson County KS - Leawood"
31233,7a01,"Leawood PubWks 3","D","Public Works 3","Public Works","Johnson County KS - Leawood"
31234,7a02,"Leawood Code","D","Public Works -- Code Enforcement","Public Works","Johnson County KS - Leawood"
31235,7a03,"Leawood Event","D","Public Works -- Special Events","Public Works","Johnson County KS - Leawood"
31236,7a04,"Leawood Pub Sfty","D","Public Safety","Multi-Tac","Johnson County KS - Leawood"
31250,7a12,"LenexaPD All","D","Lenexa Police -- Announce (All Call)","Law Dispatch","Johnson County KS - Lenexa"
31251,7a13,"Lenexa PD 1","DE","Lenexa Police 1","Law Dispatch","Johnson County KS - Lenexa"
31252,7a14,"Lenexa PD 2","DE","Lenexa Police 2","Law Dispatch","Johnson County KS - Lenexa"
31253,7a15,"LenexaPDTac1","DE","Lenexa Police -- Tac 1","Law Tac","Johnson County KS - Lenexa"
31254,7a16,"LenexaPDTac2","DE","Lenexa Police -- Tac 2","Law Tac","Johnson County KS - Lenexa"
31255,7a17,"LenexaPDSecr","DE","Lenexa Police -- Secure","Law Tac","Johnson County KS - Lenexa"
31256,7a18,"Lenexa PD PS","D","Lenexa Police -- Public Safety","Law Talk","Johnson County KS - Lenexa"
31257,7a19,"Lenexa Emerg","D","Lenexa Emergency Management","Emergency Ops","Johnson County KS - Lenexa"
31280,7a30,"LenexaFD All","D","Lenexa Fire -- Announce (All Call)","Fire Dispatch","Johnson County KS - Lenexa"
31281,7a31,"LenexaFD Adm","D","Lenexa Fire -- Administration","Fire-Talk","Johnson County KS - Lenexa"
31282,7a32,"LenexaFD Trn","D","Lenexa Fire -- Training","Fire-Talk","Johnson County KS - Lenexa"
31283,7a33,"Lenexa FD PS","D","Lenexa Fire -- Public Safety","Fire-Talk","Johnson County KS - Lenexa"
31284,7a34,"Lenexa Commn","D","Lenexa Common","Multi-Tac","Johnson County KS - Lenexa"
31285,7a35,"LenexaStreet","D","Lenexa Public Works -- Street Department","Public Works","Johnson County KS - Lenexa"
31286,7a36,"Lenexa PW","D","Public Works","Public Works","Johnson County KS - Lenexa"
31287,7a37,"Lenexa SrCtr","D","Senior Community Center Bus","Public Works","Johnson County KS - Lenexa"
31300,7a44,"Olathe PD All","D","Police -- Announce (All Call)","Law Dispatch","Johnson County KS - Olathe"
31301,7a45,"Olathe PD SRO","D","Police -- SRO","Law Talk","Johnson County KS - Olathe"
31302,7a46,"Olathe PD Narc","D","Police -- Narcotics","Law Tac","Johnson County KS - Olathe"
31303,7a47,"Olathe PD Dis","DE","Police -- Dispatch","Law Dispatch","Johnson County KS - Olathe"
31304,7a48,"Olathe PD 2","DE","Police 2","Law Tac","Johnson County KS - Olathe"
31305,7a49,"Olathe PD 3","DE","Police 3","Law Tac","Johnson County KS - Olathe"
31306,7a4a,"Olathe PD Tac1","DE","Police Tac 1","Law Tac","Johnson County KS - Olathe"
31307,7a4b,"Olathe PD Tac2 ","DE","Police Tac 2","Law Tac","Johnson County KS - Olathe"
31310,7a4e,"Olathe Fire All","D","Fire -- Announce (All Call)","Fire Dispatch","Johnson County KS - Olathe"
31311,7a4f,"Olathe Fire Disp","D","Fire Dispatch","Fire Dispatch","Johnson County KS - Olathe"
31312,7a50,"Olathe Fire","D","Fire","Fire-Tac","Johnson County KS - Olathe"
31313,7a51,"Olathe FDTR1","D","Fire Training 1","Fire-Tac","Johnson County KS - Olathe"
31314,7a52,"Olathe FDTR2","D","Fire Training 2","Fire-Tac","Johnson County KS - Olathe"
31316,7a54,"Olathe Waste","D","Public Works - Solid Waste","Public Works","Johnson County KS - Olathe"
31317,7a55,"Olathe Field","D","Public Works - Field Operations","Public Works","Johnson County KS - Olathe"
31318,7a56,"Olathe Envir","D","Public Works - Environmental Service","Public Works","Johnson County KS - Olathe"
31319,7a57,"Olathe Strat","D","Public Works - Strategic Services","Public Works","Johnson County KS - Olathe"
31324,7a5c,"OL CMTYCNTR1","D","Community Center - Commons","Public Works","Johnson County KS - Olathe"
31326,7a5e,"Olathe Trash","D","Residential Solid Waste","Public Works","Johnson County KS - Olathe"
31328,7a60,"OL CMTY CNTR","D","Community Center - Front Desk","Public Works","Johnson County KS - Olathe"
31330,7a62,"OlathSchlAll","D","Olathe Public Schools -- Announce (All Call)","Schools","Johnson County KS - Olathe Public Schools"
31331,7a63,"OlathSchl D2","D","Olathe Public Schools -- D 2","Schools","Johnson County KS - Olathe Public Schools"
31332,7a64,"OlathSchl D1","D","Olathe Public Schools -- D 1","Schools","Johnson County KS - Olathe Public Schools"
31333,7a65,"OlathSclSEC1","D","Olathe Public Schools -- SEC 1","Schools","Johnson County KS - Olathe Public Schools"
31334,7a66,"OlathSclSEC2","D","Olathe Public Schools -- SEC 2","Schools","Johnson County KS - Olathe Public Schools"
31335,7a67,"OlathSclSEC3","D","Olathe Public Schools -- SEC 3","Schools","Johnson County KS - Olathe Public Schools"
31336,7a68,"OlathSclSEC4","D","Olathe Public Schools -- SEC 4","Schools","Johnson County KS - Olathe Public Schools"
31337,7a69,"OlathSclActv","D","Olathe Public Schools -- Activities","Schools","Johnson County KS - Olathe Public Schools"
31338,7a6a,"OlathSclSvc1","D","Olathe Public Schools -- Service Center 1","Schools","Johnson County KS - Olathe Public Schools"
31339,7a6b,"OlathSclSvc2","D","Olathe Public Schools -- Service Center 2","Schools","Johnson County KS - Olathe Public Schools"
31340,7a6c,"OlathSclSvc3","D","Olathe Public Schools -- Service Center 3","Schools","Johnson County KS - Olathe Public Schools"
31341,7a6d,"OlathSclSvc4","D","Olathe Public Schools -- Service Center 4","Schools","Johnson County KS - Olathe Public Schools"
31342,7a6e,"OlathSclCom1","D","Olathe Public Schools -- Common 1","Schools","Johnson County KS - Olathe Public Schools"
31343,7a6f,"OlathSclCom2","D","Olathe Public Schools -- Common 2","Schools","Johnson County KS - Olathe Public Schools"
31344,7a70,"OlathSclCom3","D","Olathe Public Schools -- Common 3","Schools","Johnson County KS - Olathe Public Schools"
31350,7a76,"OvldPk PD All","D","Police: Announce (All Call)","Law Dispatch","Johnson County KS - Overland Park"
31351,7a77,"OvPk PD Primary","DE","Police: Primary Dispatch","Law Dispatch","Johnson County KS - Overland Park"
31352,7a78,"OvldPk PD Info","DE","Police: Information","Law Talk","Johnson County KS - Overland Park"
31353,7a79,"OvldPk PD Scafe","DE","Police: Myron E. Scafe Building","Law Dispatch","Johnson County KS - Overland Park"
31354,7a7a,"OvldPk PD T/A","DE","Police: Talk-Around","Law Talk","Johnson County KS - Overland Park"
31355,7a7b,"OvldPk PD Tac1","DE","Police: Tac 1","Law Talk","Johnson County KS - Overland Park"
31356,7a7c,"OvldPk PD Tac4","DE","Police: Tac 4","Law Tac","Johnson County KS - Overland Park"
31357,7a7d,"OvldPk PD Tac3","DE","Police: Tac 3","Law Tac","Johnson County KS - Overland Park"
31358,7a7e,"OvldPk PD Tac2","DE","Police: Tac 2","Law Tac","Johnson County KS - Overland Park"
31359,7a7f,"JCCC Police","DE","Campus Police Dispatch","Law Dispatch","Johnson County KS Community College"
31360,7a80,"OvPk PD CityWide","D","Police: City Wide","Law Talk","Johnson County KS - Overland Park"
31361,7a81,"OvldPk EmrgMgmnt","D","Emergency Preparedness","Emergency Ops","Johnson County KS - Overland Park"
31362,7a82,"OvldPk PD M/A","D","Police: Mutual Aid","Law Talk","Johnson County KS - Overland Park"
31363,7a83,"OvldPk PD Sis2","D","Police: Sis 2","Law Tac","Johnson County KS - Overland Park"
31364,7a84,"OvldPk PD Admin","DE","Police: Administration","Law Talk","Johnson County KS - Overland Park"
31365,7a85,"OvldPk PD RadioM","D","Police: Radio Maintenance","Public Works","Johnson County KS - Overland Park"
31366,7a86,"OvldPk PD Tac 6","DE","Police: Tac 6","Law Tac","Johnson County KS - Overland Park"
31367,7a87,"OvldPk PD Tac 7","DE","Police: Tac 7","Law Tac","Johnson County KS - Overland Park"
31368,7a88,"OvldPk PD Tac 8","DE","Police: Tac 8","Law Tac","Johnson County KS - Overland Park"
31369,7a89,"OvldPk PD Tac 9","DE","Police: Tac 9","Law Tac","Johnson County KS - Overland Park"
31370,7a8a,"OvldPk Fire All","D","Fire: Announce (All Call)","Fire Dispatch","Johnson County KS - Overland Park"
31371,7a8b,"OvrlandPk Fire 1","D","Fire 1","Fire Dispatch","Johnson County KS - Overland Park"
31372,7a8c,"OvrlandPk Fire 2","D","Fire 2","Fire-Tac","Johnson County KS - Overland Park"
31373,7a8d,"OvrlandPk Fire 3","D","Fire 3","Fire-Tac","Johnson County KS - Overland Park"
